id,x,y
6,-0.9,1.80
7,0,1.80
8,0.9,1.80
10,-1.35,0.90
11,-0.45,0.90
12,0.45,0.90
14,-1.8,0.00
15,-0.9,0.00
16,0,0.00
17,-1.35,-0.90
18,-0.45,-0.90
19,0.45,-0.90
22,-0.9,-1.80
23,0,-1.80
24,0.9,-1.80
